Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;4,6;null;
2020-03-31;null;null;null;null;3,5;null;
2020-04-30;null;null;null;null;4,3;null;
2020-05-31;null;null;null;null;3,9;null;
2020-06-30;null;null;null;null;5,8;null;
2020-07-31;null;null;null;null;6,6;null;
2020-08-31;null;null;null;null;3,7;null;
2020-09-30;null;null;null;null;3,9;null;
2020-10-31;null;null;null;null;4,5;null;
2020-11-30;null;null;null;null;3,7;null;
2020-12-31;null;null;null;null;6,3;null;

